metro,chas,dva_chasa,noch,ves,rost,vozrast,razmer,vpopu
Пролетарская,1500,3000,9000,65,165,33,2,1
Волжская,2000,4000,10000,54,165,36,3,1
Реутов,2500,5000,-,60,164,38,3,0
Сокол,5000,-,-,51,170,27,2,1
Автозаводская,4000,8000,20000,57,170,30,2,0
Коломенская,1500,3000,9000,65,170,25,3,0
Ленинский проспект,10000,20000,-,52,168,24,4,1
Тульская,2000,4000,10000,55,170,21,3,0
Октябрьское поле,3000,6000,18000,55,165,25,2,2000
Академическая,5000,10000,25000,44,154,19,2,1
Белорусская,5000,10000,-,52,170,20,2,5000
Смоленская,10000,-,50000,57,170,30,3,1
Краснопресненская,7000,14000,-,52,170,27,2,1
Университет,8000,16000,40000,50,165,24,3,0
Октябрьская,10000,20000,45000,57,175,21,4,0
Люблино,1500,3000,9000,82,169,30,2,0
Октябрьское поле,3000,6000,12000,50,165,25,2,0
Академическая,5000,10000,30000,48,174,31,3,1
Марьино,7000,14000,-,57,165,40,3,2000
Люберцы,8000,10000,30000,56,172,21,3,1
Таганская,5000,12000,40000,49,177,23,1,7000
,4000,8000,18000,55,170,20,3,0
Полежаевская,5000,10000,25000,n/a,170,25,2,1
Таганская,1500,3000,9000,60,160,30,3,0
Отрадное,10000,15000,35000,63,165,35,3,1
Рязанский проспект,5000,10000,30000,45,155,24,2,0
Щукинская,4000,8000,20000,53,165,40,2,0
Октябрьское поле,5000,10000,20000,65,170,27,3,0
Университет,3500,-,-,60,167,18,2,0
Павелецкая,2000,4000,10000,58,165,40,3,1
Баррикадная,7000,10000,30000,54,170,33,4,2000
Коломенская,10000,20000,60000,58,169,23,2,3000
Алтуфьево,4000,8000,20000,52,166,24,2,0
Фрунзенская,4000,8000,-,60,165,39,3,1000
Кутузовская,6000,12000,-,47,165,22,1,1
Беляево,3000,6000,20000,70,170,42,5,2000
Варшавская,2000,4000,10000,70,180,50,5,0
Сухаревская,10000,18000,45000,47,157,23,2,0
Беговая,5000,10000,25000,56,173,31,2,1
Красногвардейская,3000,6000,18000,n/a,171,47,2,0
Белорусская,4000,8000,20000,62,173,23,3,0
Измайловская,2500,5000,12000,62,167,23,3,0
Войковская,3000,6000,-,57,173,26,2,0
Профсоюзная,10000,15000,30000,47,167,20,2,5000
Павелецкая,7000,15000,100000,50,172,24,3,5000
Молодежная,2000,4000,10000,66,165,39,4,1
Беляево,3500,7000,17500,58,160,23,2,0
Белорусская,12000,24000,60000,42,165,22,3,0
Академическая,8000,16000,40000,50,177,23,3,1
Братиславская,5000,-,-,n/a,176,29,4,1
Академическая,6000,12000,30000,50,173,18,2,0
Рязанский проспект,5000,10000,30000,52,160,23,2,5000
Улица 1905 го1,7000,14000,-,56,170,35,2,25000
Беговая,5000,10000,25000,n/a,170,25,2,1
Преображенская площадь,5000,8000,16000,52,165,22,2,3000
Щёлково,3000,6000,18000,58,170,19,3,0
Арбатская,3500,5000,12000,56,168,25,2,1000
Октябрьское поле,3000,6000,18000,53,156,32,2,2000
Ленинский проспект,8000,16000,35000,45,165,19,1,0
Люберцы,2000,4000,10000,57,175,23,3,0
Пролетарская,4000,8000,20000,46,164,24,1,1
Люберцы,3000,6000,15000,55,165,35,3,0
Ленинский проспект,5000,10000,-,45,170,27,2,0
Таганская,5000,8000,16000,55,170,25,2,5000
Щелковская,3000,6000,15000,55,169,28,3,1000
Курская,7000,15000,-,50,170,24,3,5000
Алтуфьево,-,8000,15000,45,165,25,3,0
Юго-Западная,6000,12000,18000,50,165,28,4,1
Баррикадная,4500,8000,21000,44,176,33,2,5000
Алексеевская,8000,16000,-,50,165,24,2,0
Парк культуры,6000,10000,30000,70,171,30,5,7000
Калужская,4000,8000,20000,51,161,23,3,0
Авиамоторная,8000,15000,45000,52,160,22,3,5000
Партизанская,7000,12000,25000,52,172,23,2,1
Добрынинская,5000,10000,-,66,177,34,2,0
Кутузовская,10000,20000,45000,43,160,35,1,1
Орехово,3000,5000,15000,56,156,29,4,2000
Мытищи,3000,6000,15000,63,172,34,6,1
Белорусская,10000,20000,45000,55,173,23,3,0
Октябрьская,8000,15000,45000,58,170,31,3,5000
Лермонтовский проспект,5000,10000,30000,47,168,20,2,5000
Улица Скобелевская,5000,10000,25000,59,173,25,2,1
Савеловская,4000,8000,20000,65,169,21,1,0
Беговая,15000,30000,-,n/a,175,26,4,1
Шаболовская,7000,14000,35000,50,170,19,3,1
Беговая,4000,8000,20000,47,165,25,2,1
Шаболовская,11000,20000,50000,48,169,30,4,1
Пролетарская,5000,10000,25000,50,172,26,1,0
Белорусская,6000,12000,-,60,172,30,5,3000
Таганская,7000,14000,-,55,175,31,2,0
Академическая,5000,15000,30000,45,165,19,2,0
Варшавская,2000,3500,10000,80,165,51,5,0
Медведково,2500,4000,10000,65,164,49,5,0
Белорусская,2500,5000,12500,n/a,168,43,3,1
Смоленская,16000,32000,-,n/a,175,31,8,1
Речной вокзал,3000,4500,8000,50,170,20,3,0
Белорусская,5000,10000,25000,46,160,22,2,0
Автозаводская,8000,16000,35000,62,180,22,3,0
Павелецкая,5000,8000,16000,55,170,22,2,3000
Каховская,4000,8000,25000,63,173,25,3,1
Автозаводская,4000,8000,20000,55,165,24,2,0
Выхино,3000,6000,15000,59,165,22,3,2500
Смоленская,6000,12000,30000,47,168,22,2,0
Братиславская,5000,10000,25000,50,172,28,2,0
Строгино,10000,20000,60000,54,170,24,1,10000
Красногорск,10000,18000,50000,56,168,25,4,1
Щелковская,3500,7000,15000,50,165,20,1,0
Калужская,3500,7000,17500,60,161,19,1,0
Беговая,4000,8000,20000,n/a,168,28,2,1
Калужская,5000,10000,25000,50,173,28,1,0
Алексеевская,10000,15000,45000,50,175,33,2,1
Краснопресненская,18000,25000,60000,56,175,24,3,1
Динамо,3000,6000,15000,48,166,19,3,0
Чертановская,4000,8000,20000,50,162,29,1,0
Митино,3000,4500,8000,52,169,20,2,1
Тушинская,1500,3000,9000,42,160,28,1,0
Славянский бульвар,10000,20000,-,65,160,27,4,0
Кузьминки,5000,8000,15000,45,160,22,2,0
Алексеевская,3000,6000,-,75,170,46,6,1
Ленинский проспект,5000,10000,25000,51,171,26,2,1
Дубровка,1500,3000,9000,n/a,168,27,2,1
Таганская,10000,20000,50000,52,172,26,3,0
Смоленская,20000,40000,-,48,167,29,4,1
Академическая,3500,-,-,n/a,175,35,3,1
Савеловская,7000,14000,35000,52,175,23,2,1
Каховская,5000,10000,25000,55,170,21,2,1
Таганская,7000,10000,25000,55,172,25,3,0
Сокол,3000,6000,18000,55,170,25,2,0
Академическая,5000,10000,30000,50,171,26,1,3000
Динамо,3000,6000,15000,68,184,29,3,0
Марксистская,6000,6000,16000,55,165,27,2,2000
Люберцы,3000,5000,15000,75,168,42,2,1
Домодедовская,5100,8800,-,46,156,27,1,1
Профсоюзная,5000,10000,25000,49,167,19,3,0
Коломенская,10000,20000,70000,n/a,175,39,5,0
Ленинский проспект,10000,15000,50000,45,160,22,1,0
Академическая,6000,12000,25000,50,169,20,2,0
Улица 1905 го1,5000,8000,16000,48,160,25,2,3000
Университет,2300,4600,10000,58,172,28,3,0
Ломоносовский проспект,5000,10000,25000,55,165,25,2,0
Сухаревская,7000,14000,-,53,170,45,3,0
Проспект Мира,2000,4000,15000,53,156,23,1,0
Фрунзенская,10000,18000,-,48,165,31,3,5000
Владыкино,4000,8000,18000,58,165,27,2,0
Измайловская,2500,5000,-,57,166,45,2,3000
Таганская,10000,19000,55000,49,170,38,4,10000
Белорусская,6000,12000,-,58,170,30,5,1
Химки,3500,5000,8000,55,155,20,3,0
Кутузовская,20000,30000,80000,54,180,29,3,0
Профсоюзная,5000,10000,25000,47,170,22,1,0
Бабушкинская,4000,8000,-,52,171,35,1,1
Проспект Вернадского,6000,12000,38000,50,170,26,3,0
Алексеевская,5000,10000,30000,48,158,24,2,0
Нагатинская,10000,15000,40000,59,173,23,4,3000
Жулебино,3000,6000,25000,60,165,26,2,5000
Войковская,5000,9000,25000,55,160,19,2,1
Киевская,10000,20000,60000,54,170,42,3,1
Улица Горчакова,3500,4500,8000,49,170,20,2,0
Краснопресненская,4500,8000,21000,59,176,33,2,5000
Братиславская,5000,10000,25000,50,167,21,2,0
Дубровка,2000,4000,-,55,160,30,2,1000
Октябрьское поле,6000,12000,30000,57,177,22,2,0
Выхино,3000,6000,14000,58,173,27,1,1000
Кутузовская,7000,14000,28000,50,168,22,2,0
Коломенская,2000,4000,-,48,154,23,1,0
Мытищи,5000,10000,30000,54,168,35,2,2000
Аэропорт,6000,12000,30000,55,168,27,3,0
Улица 1905 го1,20000,40000,150000,60,170,23,4,1
Университет,3500,10000,-,56,175,26,1,0
Ленинский проспект,10000,20000,60000,60,178,25,4,1
Жулебино,3000,5000,15000,75,168,42,2,1
Люберцы,1500,3000,9000,48,160,25,2,0
Беговая,5000,10000,25000,50,170,28,1,1
Академическая,5000,10000,25000,44,160,19,1,0
Люберцы,4000,8000,15000,53,176,24,3,0
Войковская,3000,6000,18000,58,170,32,2,1
Дмитровская,2500,5000,12500,56,163,33,3,1
Белорусская,3000,6000,15000,n/a,170,29,3,0
Профсоюзная,5000,10000,25000,45,168,18,1,0
Улица 1905 го1,5000,10000,25000,55,172,34,2,1
Шаболовская,6000,12000,30000,58,170,26,3,4000
Жулебино,5000,10000,30000,65,167,21,3,0
Чистые пруды,15000,30000,100000,54,170,28,4,1
Домодедовская,3000,6000,18000,52,170,34,3,0
Ленинский проспект,7000,14000,40000,54,170,22,3,0
Октябрьское поле,12000,24000,60000,55,160,28,1,1
Площадь Ильича,8000,15000,45000,52,160,22,3,5000
Новые Черемушки,10000,20000,60000,70,167,30,3,0
Ногинск,3000,6000,20000,49,177,22,2,0
Ленинский проспект,4000,8000,20000,60,175,30,2,2000
Саларьево,2500,5000,15000,67,170,30,5,1
Подольск,1500,3000,10000,48,160,36,2,0
Бабушкинская,2500,5000,15000,68,165,37,3,1
Дубровка,1500,3000,9000,59,157,22,3,0
Пролетарская,5000,10000,50000,57,168,26,3,0
Улица 1905 го1,30000,60000,100000,51,178,30,2,1
Беговая,5000,10000,25000,52,163,23,2,1
Алтуфьево,4000,8000,-,49,156,30,1,2000
Шаболовская,6000,12000,30000,60,175,22,5,1
Кутузовская,5000,10000,50000,54,172,26,4,0
Университет,4000,8000,30000,57,173,34,2,1
Кунцевская,10000,15000,30000,48,165,20,2,5000
Речной вокзал,5000,8000,15000,50,165,18,2,0
Динамо,4000,7000,20000,95,170,25,6,1
Проспект Мира,10000,18000,45000,43,157,23,2,0
Беговая,5000,10000,25000,50,165,20,3,0
Савеловская,3000,6000,15000,50,165,51,2,1
Павелецкая,8000,16000,40000,53,170,23,2,0
Речной вокзал,7000,12000,25000,48,172,19,3,1
Митино,3000,4000,7000,52,168,23,3,1
Коломенская,2000,4000,10000,55,160,28,3,0
Автозаводская,4000,8000,20000,53,160,18,3,0
Динамо,6000,12000,30000,45,152,18,2,0
Коломенская,2000,4000,10000,55,160,28,3,0
Рязанский проспект,5000,10000,30000,60,175,20,3,0
Алтуфьево,3000,5000,-,52,165,27,1,0
Проспект Мира,20000,40000,100000,50,170,22,4,5000
Ленинский проспект,5000,10000,30000,48,174,31,3,1
Автозаводская,8000,16000,35000,62,180,22,3,0
Выхино,3000,6000,25000,42,150,30,2,0
Академическая,5000,10000,20000,50,165,19,1,4000
Реутов,4000,8000,16000,45,165,20,2,0
Кутузовская,10000,20000,50000,52,160,23,2,5000
Савеловская,6000,10000,25000,57,167,25,4,1
Тверская,4000,7000,20000,55,175,20,2,5000
Тульская,5000,10000,30000,50,165,23,2,2000
Молодежная,2000,4000,12000,50,170,25,2,0
Октябрьская,5000,9000,30000,67,168,26,6,3000
Пролетарская,1500,3000,9000,76,165,35,2,0
Войковская,5000,10000,25000,50,160,26,3,1
Проспект Мира,3000,6000,16000,50,158,38,1,2000
Пролетарская,2000,4000,10000,45,157,25,2,0
Арбатская,20000,40000,120000,48,167,29,4,1
Красногорск,3000,4000,8000,50,165,20,3,1
Молодежная,6000,12000,-,47,160,21,2,1
Павелецкая,5000,8000,16000,60,170,21,4,3000
Щукинская,1500,3000,9000,77,168,40,4,1
Академическая,8000,16000,-,55,175,28,2,0
Алексеевская,8000,16000,-,50,165,24,2,0
Выхино,3000,6000,25000,60,165,26,2,5000
Новокосино,3000,4500,8000,50,170,20,3,1
Парк Победы,5000,10000,30000,48,170,24,3,1
Мытищи,7000,12000,35000,60,175,29,2,3000
Рижская,3500,7000,-,53,168,36,2,2000
Ленинский проспект,10000,20000,-,50,167,26,3,0
Академическая,8000,16000,40000,50,165,24,3,0
Люберцы,6000,10000,25000,53,170,25,2,5000
Улица Скобелевская,4000,8000,20000,60,172,20,3,0
Сходненская,3000,6000,16000,64,172,28,3,0
Коломенская,8000,16000,50000,55,170,33,3,5000
Улица 1905 го1,10000,20000,-,62,170,26,2,1
Юго-Западная,3000,5000,8000,50,170,19,2,1
Новые Черемушки,6000,12000,25000,47,169,23,1,0
Таганская,7000,15000,30000,50,167,25,2,0
Жулебино,2000,4000,12000,65,170,27,4,0
Беговая,7000,12000,34000,55,172,23,2,5000
Академическая,10000,20000,50000,50,173,19,2,1
Ленинский проспект,10000,20000,45000,53,176,19,1,0
Аэропорт,5000,10000,20000,50,165,27,2,1
Бунинская Аллея,3000,5500,-,65,170,29,2,0
Савеловская,7000,14000,35000,52,175,23,2,1
Пражская,3000,5000,12000,55,175,25,3,1
Площадь Ильича,4000,7000,18000,53,170,28,3,1
Бауманская,4000,8000,-,48,162,32,3,1
Дубровка,3000,5000,-,53,160,65,3,0
Молодежная,4000,8000,-,50,165,35,2,0
Алексеевская,3500,7000,-,65,175,38,6,1000
Кутузовская,15000,-,-,61,169,42,5,0
Королёв,2500,5000,20000,65,160,45,2,0
Беговая,5000,8000,35000,45,155,23,1,0
Планерная,4000,8000,-,54,172,28,2,0
Октябрьское поле,5300,10000,-,54,170,39,3,1
Ясенево,2000,4000,15000,84,156,46,5,2000
Сокол,3500,6000,16000,52,160,25,2,2000
Коломенская,1800,-,-,65,168,37,2,1000
Щелковская,1500,3000,8000,65,175,38,4,1
Юго-Западная,5000,9000,25000,60,170,43,3,1
Кузьминки,3000,6000,-,70,172,23,3,4000
Пролетарская,4000,8000,25000,55,165,34,2,0
Таганская,3000,6000,15000,58,165,32,4,0
Сергиев Посад,3500,5500,14000,57,160,30,2,0
Новоясеневская,2000,4000,-,68,180,19,4,1
Зябликово,2500,5000,-,55,172,38,3,0
Таганская,5000,9000,-,55,172,19,2,0
Курская,5000,9000,-,55,165,20,2,1000
Беговая,5000,10000,25000,54,162,19,2,0
Войковская,3000,5000,10000,87,170,47,3,1
Полежаевская,5000,10000,-,64,173,33,4,0
Марьино,7000,10000,25000,58,170,32,2,2000
Мытищи,5000,10000,20000,67,176,34,2,1
Беляево,2500,5000,8000,90,170,49,6,0
Соколиная Гора,5000,7000,20000,73,170,46,3,1
Пятницкое шоссе,4000,-,-,70,170,53,3,2000
Петровско-Разумовская,3000,6000,20000,57,177,44,3,0
Кутузовская,5000,10000,-,65,175,28,3,0
Выхино,6000,12000,-,48,163,31,2,0
Кунцевская,5000,8000,18000,91,180,30,6,3500
Молодежная,4000,7000,-,50,165,34,2,0
Рижская,3000,6000,-,55,167,38,3,2000
Строгино,3000,6000,25000,65,169,50,2,1000
Фрунзенская,5000,10000,25000,61,170,31,3,0
Автозаводская,2500,5000,-,90,170,33,3,3000
Мытищи,2000,4000,10000,50,165,45,1,1
Таганская,5000,-,-,50,165,39,4,5000
Мытищи,5000,10000,-,53,164,42,3,0
Щелковская,3000,5000,7000,69,165,58,4,0
Щелковская,2000,3000,7000,75,167,58,4,0
Полежаевская,-,-,-,n/a,163,45,7,0
Щелковская,5000,7000,12000,51,171,33,3,1
Таганская,7000,12000,30000,61,175,32,2,1
Первомайская,3500,6000,18000,62,164,42,3,0
Киевская,7000,14000,28000,n/a,160,26,3,5000
Павелецкая,6000,12000,30000,56,168,24,2,0
Домодедово,-,8000,13000,53,170,25,2,0
Проспект Вернадского,2500,7000,12000,65,170,28,3,0
,6000,8000,16000,65,168,26,4,0
Каховская,2500,5000,12000,70,169,52,4,0
Царицыно,4000,8000,18000,68,170,26,5,0
Коломенская,5000,10000,-,61,166,34,4,1
Царицыно,5000,8000,20000,43,162,35,2,0
Сходненская,2500,5000,-,78,166,35,3,0
Варшавская,8000,14000,50000,68,170,38,5,0
Курская,-,10000,-,53,168,26,3,0
Аэропорт,3000,6000,20000,50,161,50,3,0
Рязанский проспект,5000,10000,25000,50,162,19,3,0
Юго-Западная,2000,5000,15000,85,165,46,4,2000
Партизанская,6000,10000,-,48,166,24,2,5000
Нахимовский проспект,3500,5500,15000,66,178,45,2,0
Теплый стан,2500,5000,10000,65,168,60,4,0
Менделеевская,5000,10000,36000,48,160,25,1,0
Алексеевская,2500,5000,10000,95,175,40,3,0
Бибирево,3000,6000,10000,52,168,26,3,0
Полежаевская,3000,5500,15000,50,165,35,2,0
Беговая,2500,5000,15000,83,154,50,3,1500
Таганская,10000,15000,40000,55,167,20,2,0
Теплый стан,5000,8000,20000,65,168,60,4,2000
Люберцы,3000,6000,-,54,180,40,2,0
Троицк,-,8000,13000,56,176,26,2,0
Выхино,10000,15000,30000,43,162,19,3,0
Маяковская,3000,6000,-,58,165,29,2,0
Краснопресненская,10000,12000,40000,n/a,180,30,4,0
Молодежная,5000,12000,-,n/a,165,38,2,0
Пионерская,2000,4000,10000,59,160,25,4,2000
Славянский бульвар,2000,6000,12000,59,164,26,4,1
Серпуховская,1500,3000,6000,65,171,40,2,0
Рязанский проспект,2500,5000,13000,68,165,40,8,0
Красногорск,2500,5000,12000,115,175,23,4,0
Раменское,3000,6000,15000,67,162,21,3,0
Красногвардейская,4000,7000,16000,49,157,26,1,0
Новогиреево,2000,4000,-,69,156,44,4,0
Кунцевская,5000,10000,-,52,168,37,2,1000
Крылатское,8000,15000,-,49,171,18,2,0
Таганская,4000,6000,-,58,167,28,5,1
Полежаевская,3000,-,-,n/a,175,37,5,1
Нахимовский проспект,5000,10000,25000,65,165,30,2,1
Проспект Вернадского,7000,14000,40000,52,160,20,3,0
Охотный ряд,10000,20000,50000,54,171,19,1,5000
Красные ворота,6000,12000,-,58,177,27,2,0
Ногинск,3000,6000,15000,54,153,24,2,0
Ногинск,3000,6000,15000,56,161,21,2,0
Медведково,2000,4000,10000,58,166,39,3,0
Студенческая,-,10000,25000,46,165,20,2,0
Медведково,3000,6000,15000,55,165,29,2,0
Тушинская,4000,8000,-,53,168,23,2,0
Подольск,3000,6000,15000,50,168,27,3,1
Марьино,4000,8000,20000,50,164,24,2,0
Медведково,3000,6000,-,50,165,29,2,1
Щелковская,2500,-,-,n/a,167,32,3,0
Ленинский проспект,7000,14000,-,53,165,21,2,3000
Курская,10000,20000,50000,58,170,25,2,5000
Рязанский проспект,2500,5000,15000,62,165,35,3,5000
Преображенская площадь,3500,7000,15000,52,168,25,2,0
Беляево,2500,5000,15000,52,172,22,3,0
Алексеевская,10000,20000,-,48,170,19,2,0
Дубровка,1500,3000,9000,n/a,160,23,4,0
Студенческая,6500,13000,-,43,168,27,2,0
Проспект Вернадского,5000,10000,25000,55,165,21,1,0
Серпуховская,1500,3000,-,69,169,30,2,0
Юго-Западная,4000,6000,12000,63,171,25,2,1
Балашиха,5000,10000,30000,52,167,21,3,0
Китай-город,10000,20000,45000,50,170,25,2,0
Отрадное,1700,3400,10000,55,165,28,2,0
Электрозаводская,4000,8000,-,49,157,24,2,0
Электросталь,3000,6000,-,53,169,29,1,0
Борисово,4000,8000,20000,52,170,27,3,0
Молодежная,1500,3000,9000,50,162,23,2,0
Подольск,3000,6000,15000,50,168,25,3,0
Борисово,4000,8000,20000,50,168,28,2,0
Преображенская площадь,3000,6000,18000,54,165,24,3,0
Академическая,5000,10000,25000,45,168,18,1,0
Автозаводская,7000,14000,40000,47,164,20,2,5000
Багратионовская,1700,3400,10000,55,170,28,2,0
Преображенская площадь,3000,6000,18000,56,175,26,5,0
Митино,6000,12000,-,48,167,23,2,0
Улица 1905 го1,-,15000,35000,58,167,25,2,5000
Пролетарская,5000,10000,-,58,168,20,3,1
Октябрьское поле,3000,7000,-,n/a,172,42,4,0
Сходненская,10000,20000,60000,60,165,29,4,0
Речной вокзал,7000,12000,-,65,160,38,2,0
Таганская,5000,10000,20000,59,170,36,3,0
Щелковская,3000,6000,-,70,179,37,2,3000
ВДНХ,5000,10000,-,n/a,170,40,5,0
Парк Победы,5000,8000,-,47,168,30,2,3000
Марьино,5000,8000,25000,53,170,30,2,0
Авиамоторная,3500,7000,20000,72,175,40,5,3500
Строгино,4000,10000,-,54,173,40,2,5000
Коломенская,2500,5000,12000,74,165,55,3,0
Каховская,2500,5000,8000,48,165,43,4,1000
Марьино,3000,4000,8000,58,165,38,3,0
Алексеевская,2500,5000,15000,78,170,53,4,1000
Славянский бульвар,5000,10000,30000,70,170,45,3,0
Каховская,2000,4000,10000,80,165,51,5,0
Каширская,5000,8000,10000,60,165,40,3,1000
Петровско-Разумовская,3000,6000,-,57,175,34,3,2000
Речной вокзал,2500,4500,10000,60,168,55,4,0
Площадь Ильича,6000,10000,-,62,170,31,2,5000
Академическая,4000,7000,20000,55,166,21,2,0
Новокосино,7000,18000,50000,50,167,23,3,0
Ростокино,1500,-,-,65,185,38,1,2000
Автозаводская,10000,20000,-,55,171,32,3,1
Алексеевская,2000,3500,10000,85,165,56,8,0
Воробьевы горы,-,7000,17000,55,165,39,3,0
Медведково,3000,6000,15000,50,165,31,2,0
Сергиев Посад,3500,7000,20000,50,167,30,2,0
Бульвар Адмирала Ушакова,3000,5000,15000,65,175,54,3,0
,8000,16000,33000,60,177,25,5,5000
Киевская,10000,15000,45000,52,170,23,2,5000
Ивантеевка,-,8000,15000,49,165,20,2,7000
Петровско-Разумовская,3000,6000,15000,48,165,39,1,1
Перово,3000,6000,30000,55,173,35,3,0
Бауманская,4000,8000,-,68,160,46,4,0
Бабушкинская,5000,10000,-,55,170,24,3,0
Алексеевская,5000,10000,20000,51,164,28,3,5000
Реутов,3000,6000,-,70,167,43,3,0
Первомайская,3000,6000,24000,70,168,46,3,3000
Сретенский бульвар,6000,12000,30000,57,172,24,1,2000
Варшавская,2500,5000,10000,72,163,39,4,1000
Царицыно,3000,6000,-,54,170,24,2,0
Петровско-Разумовская,3000,6000,15000,49,165,25,3,0
Подольск,3000,6000,15000,69,170,42,3,2000
Красносельская,2500,5000,13000,46,162,31,2,0
Коломенская,2500,5000,10000,78,175,41,3,1
Подольск,2500,5000,-,66,165,40,3,0
Мытищи,4000,8000,20000,50,170,23,2,0
ВДНХ,3000,6000,12000,67,173,37,4,1
Проспект Мира,3000,6000,15000,70,170,38,3,0
Улица 1905 го1,8000,15000,-,45,165,22,2,0
Беговая,3000,6000,15000,49,163,19,2,0
Смоленская,10000,20000,50000,55,170,18,4,1
Белорусская,12000,24000,50000,77,171,25,5,0
Люблино,2500,5000,15000,50,162,32,2,0
Павелецкая,8000,16000,50000,47,167,20,2,0
Арбатская,12000,17000,70000,57,165,24,2,3000
Автозаводская,7000,14000,-,53,165,21,2,3000
Ломоносовский проспект,8000,15000,40000,60,174,24,1,1
Теплый стан,5000,10000,20000,50,168,20,1,0
Домодедовская,5100,8800,-,46,156,27,1,0
Улица 1905 го1,7000,14000,35000,60,174,23,3,0
Улица 1905 го1,7000,14000,35000,49,166,23,5,0
Войковская,7000,15000,30000,48,165,35,2,0
Химки,3000,6000,12000,45,159,33,1,3000
Химки,3000,6000,12000,57,175,35,4,0
Новокосино,3500,7000,17000,50,165,25,2,0
Университет,2300,4600,-,52,167,36,2,0
Химки,3000,6000,-,57,165,38,3,5000
Алтуфьево,2000,4000,8000,49,165,21,2,0
Планерная,2500,5000,12000,85,170,37,5,2000
Жулебино,2500,5000,12000,55,164,32,2,2000
Раменское,2500,5000,12000,49,152,36,2,0
Кунцевская,7000,12000,-,48,162,24,1,0
Алексеевская,2000,4000,10000,75,165,45,4,2000
Красные ворота,5000,10000,30000,50,167,28,2,0
Дмитровская,1500,-,-,130,170,49,7,0
ВДНХ,3000,6000,12000,68,165,28,5,3000
Серпухов,3000,6000,-,53,167,32,2,0
Подольск,2500,5000,15000,67,167,36,2,0
Подольск,2500,5000,13000,60,170,30,2,0
Ясенево,2000,5000,-,72,165,45,4,0
Петровско-Разумовская,-,8000,14000,42,153,26,1,0
Новые Черемушки,5000,7000,12000,47,167,29,2,1
Подольск,2500,5000,-,67,170,36,3,0
Пролетарская,5000,10000,19000,45,162,27,2,0
Дубровка,5000,10000,19000,45,162,27,2,0
Новые Черемушки,2000,4000,-,68,173,44,4,0
Щёлково,3000,6000,20000,65,174,24,3,0
Новогиреево,6000,10000,25000,56,165,36,2,3000
Войковская,10000,20000,50000,48,158,24,1,0
Одинцово,5000,8000,-,50,158,22,1,2000
Балашиха,3000,5000,17000,90,174,34,5,1
Перово,1100,-,-,90,163,49,2,0
Таганская,5000,10000,25000,62,170,27,2,5000
Мытищи,2000,6000,-,58,160,50,2,0
Люберцы,4000,6000,12000,59,175,43,3,0
Войковская,3000,5000,15000,50,160,38,2,0
Сокольники,7000,15000,30000,57,172,47,2,1
Петровско-Разумовская,2500,5000,10000,78,167,43,4,0
Проспект Мира,9000,17000,45000,49,170,20,2,0
ВДНХ,9000,18000,45000,50,173,23,2,0
Щукинская,2000,4000,10000,69,168,30,3,1
Рязанский проспект,5000,10000,-,58,170,38,3,0
Железнодорожный,7000,10000,15000,76,173,41,4,0
Алексеевская,2500,5000,15000,60,165,45,4,2000
Орехово,3000,5000,15000,48,167,30,1,0
Беговая,3000,6000,15000,57,168,27,2,0
Беговая,3000,6000,15000,56,167,32,2,0
Проспект Мира,9000,17000,45000,49,170,20,2,0
Красногорск,4000,5000,10000,51,165,27,2,1
Люберцы,5000,10000,14000,50,162,26,2,1
Подольск,3000,6000,16000,55,169,23,2,0
Алексеевская,2000,4000,12000,80,172,21,5,2000
Парк Победы,5000,8000,-,65,175,28,1,0
Деловой центр,-,15000,40000,44,150,30,1,1
Люберцы,3500,7000,16000,45,162,29,3,5000
Красногорск,2500,5000,15000,54,160,30,4,0
Выхино,2000,4000,12000,45,160,34,1,0
Бульвар Дмитрия Донского,2500,5000,-,55,170,35,2,1
Алексеевская,2000,4000,10000,80,170,40,5,2000
Коньково,2000,4000,12000,70,170,48,3,0
Щукинская,2000,4000,10000,58,164,38,2,0
Студенческая,3500,7000,17500,55,159,21,2,0
Тургеневская,8000,16000,-,n/a,170,46,2,11000
Парк культуры,3000,6000,-,48,167,40,2,0
Крылатское,3500,7000,17000,73,164,46,4,0
Бульвар Дмитрия Донского,3000,6000,20000,65,175,40,3,2000
Беговая,3000,6000,50000,58,170,42,2,1
Домодедовская,2000,4000,8000,80,167,47,6,1
Подольск,3000,6000,20000,61,172,35,3,0
Баррикадная,8000,15000,-,64,179,32,2,1
Орехово,2000,3500,10000,78,166,48,5,0
Медведково,3000,6000,12000,80,170,32,5,0
Домодедовская,3000,6000,18000,45,160,40,2,0
Мытищи,4000,8000,20000,46,168,23,2,0
Фрунзенская,3000,6000,-,40,165,26,1,5000
Улица 1905 го1,4000,8000,-,65,160,37,5,1
Строгино,3000,6000,25000,61,150,53,4,0
Университет,6000,12000,30000,50,165,18,2,0
Сокол,5000,8000,16000,51,167,29,2,0
Балашиха,3000,8000,20000,50,170,22,2,0
Войковская,2000,4000,8000,64,167,25,4,0
Красногорск,2500,5000,15000,80,170,26,4,3000
Каширская,5000,8000,-,72,167,51,4,0
Кунцевская,5000,10000,25000,64,164,25,3,1
Таганская,2000,4000,12000,49,165,25,3,0
Сокол,7000,12000,-,47,165,27,1,0
Беговая,5000,10000,20000,70,165,47,4,2000
